num ex mark,num words,num chars,avg_word,stopwords,upper,ScoreAngry,ScoreDisgust,ScoreFear,ScoreHappy,ScoreSad,ScoreSurprise
0,7,14,4.0,0,0,1,0,0,0,0,0
0,8,42,5.0,3,0,1,1,2,1,1,0
0,20,102,4.15,11,0,0,0,0,0,0,0
0,45,199,3.445,26,0,1,1,1,0,1,0
0,8,21,4.668,1,0,1,1,1,0,1,1
0,13,60,3.691,6,0,0,0,0,0,0,0
0,25,128,4.16,13,0,1,0,1,0,0,1
0,11,62,4.727,7,0,1,0,0,0,0,0
0,19,97,4.156,10,0,0,0,0,0,0,0
1,3,26,8.0,0,0,0,0,0,0,0,0
0,4,17,3.5,2,0,0,0,0,0,0,0
0,4,16,3.25,1,0,0,0,0,0,0,0
0,5,23,3.8,2,0,0,0,0,1,0,1
0,12,52,3.416,7,0,0,0,0,0,0,0
0,4,25,5.5,1,0,0,0,0,0,0,0
1,23,133,4.824,6,4,0,0,0,0,0,0
0,3,14,4.0,0,0,0,0,1,0,1,0
0,12,44,4.715,3,1,0,0,0,0,0,0
0,27,131,3.889,17,0,0,0,0,0,0,0
0,9,47,4.875,3,1,0,0,0,0,0,0
0,42,191,4.285,15,2,1,1,3,1,2,0
0,46,197,3.707,18,3,0,2,1,0,0,1
0,8,47,5.0,3,0,0,0,1,1,0,0
0,38,177,3.684,21,0,0,0,0,0,0,0
0,10,46,3.7,5,0,0,0,0,0,0,0
0,23,133,4.824,9,1,0,0,1,2,1,0
1,6,50,7.5,1,0,0,0,0,1,0,0
